,,,,,
,NÃO PREENCHER,,,,
,Desempenho por Especialidade (Ciclo Regular),,,,
,Disciplina,Tarefas Feitas,% Tarefas Feitas,Questões Feitas,% Acertos
,Pediatria,9,"9,28%",243,"83,54%"
,Cirurgia,6,"7,06%",215,"76,28%"
,Ginecologia,6,"9,52%",234,"77,35%"
,Preventiva,11,"12,64%",427,"82,20%"
,Obstetrícia,6,"9,84%",133,"86,36%"
,Infecto,6,"13,33%",158,"78,48%"
,Gastro,3,"9,68%",103,"76,70%"
,Cardiologia,2,"6,25%",26,"57,69%"
,Nefrologia,2,"8,70%",61,"75,41%"
,Endocrino,3,"9,38%",95,"75,79%"
,Hepato,1,"5,56%",14,"57,14%"
,Neuro,6,"30,00%",528,"78,41%"
,Pneumo,2,"10,00%",44,"75,00%"
,Otorrino,1,"9,09%",1,"100,00%"
,Psiquiatria,1,"5,88%",23,"86,96%"
,Reumato,1,"5,88%",21,"100,00%"
,Hemato,1,"5,56%",20,"90,00%"
,Dermato,1,"11,11%",1,"100,00%"
,Ortopedia,1,"7,14%",1,"100,00%"
,Oftalmo,1,"14,29%",1,"100,00%"
,Total,70,"10,01%",2349,#REF!
,,,,,
,,,,,
,Mês,Investimento,Questões,Meta,Custo/Q
,11/2025,"R$ 1.460,00",1032,-,"0,75 < C/Q < 1,00"
,12/2025,"R$ 1.670,00",1032,-,"0,50 < C/Q < 0,75"
,01/2026,"R$ 1.890,00",1032,-,"0,25 < C/Q < 0,50"
,02/2026,"R$ 2.100,00",1116,-,"C/Q ≤ R$0,25"
,03/2026,"R$ 2.310,00",2349,3000,"R$ 0,98"
,04/2026,"R$ 2.520,00",4000,4500,"R$ 0,63"
,05/2026,"R$ 2.730,00",6250,6250,"R$ 0,44"
,06/2026,"R$ 3.020,00",8000,8000,"R$ 0,38"
,07/2026,"R$ 3.310,00",10000,10250,"R$ 0,33"
,08/2026,"R$ 3.600,00",13000,12500,"R$ 0,28"
,09/2026,"R$ 3.790,00",15000,14750,"R$ 0,25"
,10/2026,"R$ 4.080,00",17000,17000,"R$ 0,24"
,11/2026,"R$ 4.370,00",19500,19500,"R$ 0,22"
,12/2026,"R$ 4.660,00",22000,22000,"R$ 0,21"
