Sim,,,,,,,
,,Sim,,PREENCHER,PREENCHER,PREENCHER,NAO PREENCHER!
,Tarefa,Assunto,Tipo de Tarefa,Realizada?,Questões Feitas,Acertos,% Acertos
,1,Imunizações,Teoria I,,,,#DIV/0!
,2,Imunizações,Teoria II,,,,#DIV/0!
,3,Imunizações,Teoria III,,,,#DIV/0!
,4,Imunizações,Revisão,,,,#DIV/0!
,5,Doenças Exantemáticas,Teoria I,,,,#DIV/0!
,6,Doenças Exantemáticas,Teoria II,,,,#DIV/0!
,7,Doenças Exantemáticas,Revisão,,,,#DIV/0!
,8,Icterícia e Sepse Neonatal,Teoria I,,,,#DIV/0!
,9,Icterícia e Sepse Neonatal,Teoria II,,,,#DIV/0!
,10,Icterícia e Sepse Neonatal,Revisão,,,,#DIV/0!
,11,Emergências Pediátricas,Teoria I,Sim,28,24,"85,71%"
,12,Emergências Pediátricas,Teoria II,Sim,28,28,"100,00%"
,13,Emergências Pediátricas,Teoria III,Sim,23,22,"95,65%"
,14,Emergências Pediátricas,Revisão,,,,#DIV/0!
,15,"Imunizações
Doenças Exantemáticas
Icterícia e Sepse Neonatal
Emergências Pediátricas",Revisão por Questões,,,,#DIV/0!
,16,Cardiopatias Congênitas,Teoria I,Sim,20,16,"80,00%"
,17,Cardiopatias Congênitas,Teoria II,Sim,20,13,"65,00%"
,18,Cardiopatias Congênitas,Revisão,Sim,40,34,"85,00%"
,19,Cuidados Neonatais,Teoria I,Sim,24,17,"70,83%"
,20,Cuidados Neonatais,Teoria II,Sim,20,15,"75,00%"
,21,Cuidados Neonatais,Revisão,Sim,40,34,"85,00%"
,22,Asma,Teoria I,,,,#DIV/0!
,23,Asma,Teoria II,,,,#DIV/0!
,24,Asma,Teoria III,,,,#DIV/0!
,25,Asma,Revisão,,,,#DIV/0!
,26,Aleitamento Materno,Teoria I,,,,#DIV/0!
,27,Aleitamento Materno,Teoria II,,,,#DIV/0!
,28,Aleitamento Materno,Revisão,,,,#DIV/0!
,29,"Cardiopatias Congênitas
Cuidados Neonatais
Asma
Aleitamento Materno",Revisão por Questões,,,,#DIV/0!
,30,Diarreia,Teoria I,,,,#DIV/0!
,31,Diarreia,Teoria II,,,,#DIV/0!
,32,Diarreia,Revisão,,,,#DIV/0!
,33,Pneumonias na Infância,Teoria I,,,,#DIV/0!
,34,Pneumonias na Infância,Teoria II,,,,#DIV/0!
,35,Pneumonias na Infância,Revisão,,,,#DIV/0!
,36,Choque em Pediatria,Teoria I,,,,#DIV/0!
